RideID,RideDate,UserID,City,VehicleType,TripDistanceKM,TripDurationMin,BaseFare,TotalFare,DriverRating,CancellationStatus,PaymentMethod,DriverID,DriverExperienceYears,SurgeApplied,IsPeakHour,RideStartTime,WeatherCondition,DeviceType,PromoCodeUsed,TripCancelledBy
RIDE100069,2023-06-16 18:54:00,USER3051,Hyderabad,Sedan,24.69,81.0,101.35,226.47,2,Completed,Wallet,DR00271,9.8,2.0,Yes,18:54,Clear,Android,Yes,NA
RIDE100070,2023-01-24 08:59:00,USER8040,Pune,Sedan,19.53,84.6,80.4,158.91,4,Completed,Wallet,DR00200,1.6,1.5,Yes,08:59,Cloudy,iOS,Yes,NA
RIDE100071,2023-08-18 16:56:00,USER7993,Mumbai,SUV,5.77,73.6,48.36,62.31,2,Completed,Card,DR00855,1.9,1.0,No,16:56,Clear,iOS,No,NA
RIDE100072,2023-10-20 02:51:00,USER3257,Chennai,Bike,1.13,59.0,86.33,91.21,3,Completed,Card,DR00784,4.0,1.5,No,02:51,Rainy,Web,No,NA
RIDE100073,2023-07-14 23:06:00,USER2893,Pune,SUV,20.57,30.8,112.91,229.04,3,Completed,Cash,DR00238,8.4,1.5,No,23:06,Clear,iOS,Yes,NA
RIDE100074,2023-02-18 04:43:00,USER8175,Delhi,Bike,17.96,88.6,125.91,238.98,5,Completed,Card,DR00146,4.9,1.5,No,04:43,Rainy,Web,Yes,NA
RIDE100075,2023-06-03 15:11:00,USER2933,Delhi,SUV,18.5,28.3,89.2,171.71,4,Completed,Wallet,DR00540,3.6,1.2,Yes,15:11,Clear,iOS,No,NA
RIDE100076,2023-08-18 03:23:00,USER7024,Delhi,Auto,19.51,22.2,49.83,98.44,5,Completed,Card,DR00260,5.8,1.5,Yes,03:23,Clear,Web,No,NA
RIDE100077,2023-06-04 19:55:00,USER6763,Mumbai,Auto,2.78,42.6,79.76,90.85,5,Completed,Wallet,DR00953,3.0,1.5,No,19:55,Clear,Android,No,NA
RIDE100078,2023-12-30 12:41:00,USER4172,Bangalore,Auto,9.6,9.8,124.36,184.05,2,Completed,Cash,DR00742,4.3,1.0,Yes,12:41,Clear,Web,Yes,NA
RIDE100079,2023-10-16 02:10:00,USER6621,Pune,Sedan,3.78,88.2,79.54,94.57,3,Completed,Card,DR00138,3.7,2.0,No,02:10,Clear,Android,Yes,NA
RIDE100080,2023-12-01 03:01:00,USER8152,Mumbai,Bike,21.71,55.0,113.58,236.87,1,Completed,Wallet,DR00867,8.1,1.0,No,03:01,Foggy,iOS,Yes,NA
RIDE100081,2023-04-15 00:51:00,USER1949,Delhi,Auto,15.96,52.3,90.87,163.38,5,Completed,Cash,DR00163,9.3,1.0,No,00:51,Clear,Web,Yes,NA
RIDE100082,2023-07-12 21:06:00,USER4902,Delhi,Auto,8.94,60.7,58.95,85.3,4,Completed,Card,DR00666,7.7,1.2,Yes,21:06,Rainy,iOS,Yes,NA
RIDE100083,2023-04-12 16:13:00,USER4801,Mumbai,Sedan,2.53,47.2,125.54,141.42,2,Completed,Card,DR00166,4.7,1.2,No,16:13,Clear,Web,Yes,NA
RIDE100084,2023-06-29 14:07:00,USER2507,Bangalore,Bike,8.46,7.7,40.11,57.08,4,Completed,Card,DR00071,5.3,1.5,Yes,14:07,Clear,Android,Yes,NA
RIDE100085,2023-07-11 07:44:00,USER1164,Mumbai,Auto,8.8,57.0,92.99,133.91,4,Cancelled,Wallet,DR00432,1.7,1.0,Yes,07:44,Clear,Android,No,System
RIDE100086,2023-11-08 23:25:00,USER4721,Hyderabad,Bike,18.51,65.9,55.07,106.04,3,Completed,Card,DR00862,7.6,1.0,No,23:25,Cloudy,iOS,Yes,NA
RIDE100087,2023-10-18 20:01:00,USER7767,Hyderabad,Bike,16.3,40.4,38.05,69.06,3,Completed,Wallet,DR00853,6.2,1.0,No,20:01,Rainy,Web,Yes,NA
RIDE100088,2023-09-21 14:20:00,USER9785,Hyderabad,Sedan,22.29,69.4,90.35,191.05,4,Completed,UPI,DR00968,9.1,1.0,No,14:20,Rainy,Android,Yes,NA
RIDE100089,2023-06-09 16:54:00,USER1750,Delhi,Auto,12.33,24.3,89.95,145.4,3,Completed,Card,DR00755,2.4,1.2,Yes,16:54,Clear,Android,Yes,NA
RIDE100090,2023-04-11 17:31:00,USER1244,Delhi,Bike,3.87,23.8,114.83,137.05,5,Completed,Card,DR00172,7.7,1.0,No,17:31,Clear,Android,No,NA
RIDE100091,2023-12-26 08:48:00,USER5094,Pune,SUV,18.12,18.7,119.37,227.52,4,Completed,Cash,DR00626,7.0,1.0,Yes,08:48,Foggy,iOS,No,NA
RIDE100092,2023-03-08 04:45:00,USER1931,Bangalore,Sedan,19.26,36.6,117.33,230.32,5,Completed,Cash,DR00107,3.0,1.0,Yes,04:45,Clear,Android,No,NA
RIDE100093,2023-02-04 07:25:00,USER2255,Bangalore,Auto,14.47,77.0,79.15,136.42,2,Completed,Wallet,DR00905,6.8,1.2,No,07:25,Cloudy,iOS,Yes,NA
RIDE100094,2023-03-21 20:15:00,USER1928,Chennai,SUV,19.5,75.4,105.8,208.96,4,Completed,Cash,DR00667,9.3,1.0,No,20:15,Clear,Android,Yes,NA
RIDE100095,2023-04-22 07:05:00,USER3076,Chennai,Sedan,12.85,37.5,99.23,162.99,1,Completed,UPI,DR00016,9.2,1.2,Yes,07:05,Rainy,Android,No,NA
RIDE100096,2023-04-27 11:53:00,USER8185,Bangalore,Auto,13.55,55.1,80.59,135.19,1,Completed,Card,DR00316,7.3,1.0,Yes,11:53,Rainy,iOS,Yes,NA
RIDE100097,2023-11-04 09:46:00,USER3958,Bangalore,SUV,11.26,66.3,101.67,158.91,3,Completed,Card,DR00065,1.0,1.0,No,09:46,Clear,Android,No,NA
RIDE100098,2023-02-16 06:13:00,USER5630,Delhi,SUV,1.61,25.5,143.67,155.24,2,Cancelled,Wallet,DR00001,8.8,1.5,No,06:13,Cloudy,iOS,No,User
RIDE100099,2023-10-08 04:17:00,USER1716,Mumbai,Auto,3.59,19.3,53.15,62.69,5,Completed,Cash,DR00870,6.7,1.0,Yes,04:17,Rainy,Web,No,NA
RIDE100100,2023-10-05 21:16:00,USER6146,Pune,Sedan,1.75,87.6,138.69,150.83,2,Completed,UPI,DR00152,3.4,1.2,No,21:16,Clear,Android,No,NA
RIDE100101,2023-12-07 19:45:00,USER6728,Chennai,SUV,16.27,57.5,36.41,66.03,3,Completed,Card,DR00223,2.3,1.2,Yes,19:45,Clear,Web,No,NA
RIDE100102,2023-07-03 01:46:00,USER5001,Pune,SUV,8.54,88.4,67.01,95.62,5,Completed,Cash,DR00850,1.6,1.2,No,01:46,Clear,Web,Yes,NA
RIDE100103,2023-01-09 08:38:00,USER5790,Bangalore,SUV,13.21,33.7,64.58,107.24,1,Completed,UPI,DR00686,1.0,1.2,Yes,08:38,Cloudy,iOS,No,NA
RIDE100104,2023-03-25 09:56:00,USER3125,Hyderabad,Bike,22.78,64.8,105.16,224.94,4,Completed,Wallet,DR00745,7.7,1.2,No,09:56,Rainy,iOS,Yes,NA
RIDE100105,2023-07-14 07:06:00,USER7517,Pune,Sedan,6.98,23.9,45.75,61.72,4,Completed,Cash,DR00083,2.7,1.2,Yes,07:06,Clear,Web,No,NA
RIDE100106,2023-09-05 16:59:00,USER8843,Delhi,Bike,10.85,27.2,135.88,209.59,4,Completed,Cash,DR00228,0.7,1.0,Yes,16:59,Clear,iOS,Yes,NA
RIDE100107,2023-03-23 05:30:00,USER3005,Bangalore,Auto,19.13,48.5,129.43,253.23,1,Completed,Wallet,DR00669,4.3,1.0,No,05:30,Clear,Web,No,NA
RIDE100108,2023-08-02 17:17:00,USER2258,Pune,Bike,6.49,32.2,108.25,143.38,5,Completed,Card,DR00362,5.1,1.5,No,17:17,Clear,Web,Yes,NA
RIDE100109,2023-11-13 14:04:00,USER2251,Bangalore,Bike,2.85,19.2,85.01,97.12,3,Completed,Card,DR00428,2.1,2.0,Yes,14:04,Clear,Web,No,NA
RIDE100110,2023-04-26 04:00:00,USER5099,Delhi,SUV,7.95,27.3,141.95,198.38,2,Completed,Card,DR00722,0.9,1.0,No,04:00,Clear,iOS,No,NA
RIDE100111,2023-11-27 09:23:00,USER9907,Chennai,Auto,4.87,8.0,129.69,161.27,4,Completed,UPI,DR00558,2.3,1.0,Yes,09:23,Clear,Web,No,NA
RIDE100112,2023-01-03 08:42:00,USER4372,Pune,Sedan,23.31,64.9,89.92,194.72,1,Completed,Card,DR00729,7.0,1.0,Yes,08:42,Rainy,Android,Yes,NA
RIDE100113,2023-07-11 19:03:00,USER9108,Pune,SUV,20.39,46.8,114.22,230.67,1,Cancelled,UPI,DR00064,1.3,1.2,No,19:03,Clear,Android,No,Driver
RIDE100114,2023-12-31 12:22:00,USER6848,Hyderabad,Sedan,16.2,13.0,98.03,177.43,4,Completed,UPI,DR00551,5.8,1.0,Yes,12:22,Clear,Android,Yes,NA
RIDE100115,2023-05-11 02:10:00,USER4609,Hyderabad,Auto,21.92,19.6,100.55,210.75,3,Completed,Wallet,DR00843,1.9,1.2,No,02:10,Clear,iOS,Yes,NA
RIDE100116,2023-03-19 11:39:00,USER8266,Delhi,SUV,20.29,13.7,69.72,140.45,2,Completed,UPI,DR00480,2.4,1.5,Yes,11:39,Foggy,Web,No,NA
RIDE100117,2023-08-06 07:42:00,USER5959,Bangalore,Bike,5.48,57.1,85.45,108.86,1,Completed,Card,DR00942,4.2,2.0,Yes,07:42,Rainy,Android,No,NA
RIDE100118,2023-05-25 20:13:00,USER7011,Delhi,Auto,22.42,13.0,39.37,83.5,3,Completed,Card,DR00740,1.5,1.0,Yes,20:13,Clear,Web,No,NA
RIDE100119,2023-04-22 07:03:00,USER5795,Bangalore,Sedan,13.94,69.1,72.88,123.68,1,Completed,Wallet,DR00975,2.1,2.0,Yes,07:03,Clear,Android,Yes,NA
RIDE100120,2023-09-30 06:37:00,USER5001,Bangalore,Auto,20.38,6.7,113.5,229.16,2,Completed,Card,DR00238,3.8,1.2,Yes,06:37,Clear,Android,Yes,NA
RIDE100121,2023-04-28 15:16:00,USER9631,Chennai,SUV,22.51,26.2,144.39,306.9,3,Completed,UPI,DR00654,3.6,1.0,Yes,15:16,Rainy,Web,No,NA
RIDE100122,2023-01-01 09:59:00,USER5383,Mumbai,Auto,8.63,80.7,145.57,208.38,4,Completed,Card,DR00761,7.6,1.0,No,09:59,Cloudy,Android,Yes,NA
RIDE100123,2023-08-25 01:02:00,USER6224,Delhi,SUV,3.64,66.1,96.69,114.29,1,Completed,Card,DR00644,1.2,1.2,Yes,01:02,Foggy,Web,No,NA
RIDE100124,2023-12-22 19:00:00,USER9870,Pune,Sedan,6.47,11.2,102.79,136.04,1,Completed,Cash,DR00660,8.7,2.0,No,19:00,Clear,iOS,Yes,NA
RIDE100125,2023-01-15 04:22:00,USER9248,Pune,Bike,11.25,74.8,52.29,81.7,3,Completed,Card,DR00876,8.3,1.0,Yes,04:22,Foggy,Web,Yes,NA
RIDE100126,2023-03-23 11:01:00,USER2710,Hyderabad,Auto,20.63,46.9,113.44,230.45,1,Completed,Wallet,DR00796,7.8,1.0,No,11:01,Clear,Web,No,NA
RIDE100127,2023-09-22 07:32:00,USER1884,Delhi,SUV,21.66,77.0,38.48,80.15,2,Completed,Wallet,DR00742,3.4,1.0,No,07:32,Rainy,Web,No,NA
RIDE100128,2023-08-12 22:11:00,USER6679,Bangalore,SUV,1.17,56.1,64.16,67.91,1,Completed,Card,DR00039,8.3,2.0,Yes,22:11,Clear,Android,Yes,NA
RIDE100129,2023-06-24 08:43:00,USER7731,Chennai,Bike,13.26,63.0,110.2,183.26,4,Completed,Wallet,DR00351,2.2,2.0,No,08:43,Clear,Android,No,NA
RIDE100130,2023-02-12 04:18:00,USER8966,Mumbai,Bike,11.02,89.4,67.24,104.29,4,Completed,UPI,DR00214,1.7,1.0,No,04:18,Clear,Web,Yes,NA
RIDE100131,2023-06-25 09:32:00,USER5583,Delhi,Auto,6.33,24.7,35.98,47.37,4,Completed,UPI,DR00563,0.9,1.0,No,09:32,Cloudy,Web,Yes,NA
RIDE100132,2023-02-27 08:22:00,USER2285,Pune,Auto,3.88,58.0,129.82,155.01,4,Completed,Card,DR00944,9.4,1.5,Yes,08:22,Clear,iOS,No,NA
RIDE100133,2023-03-04 08:54:00,USER4335,Chennai,Auto,9.1,44.1,67.24,97.83,3,Completed,UPI,DR00750,3.4,1.2,Yes,08:54,Clear,iOS,No,NA
RIDE100134,2023-12-20 21:17:00,USER3246,Chennai,Auto,23.63,8.4,37.57,81.96,2,Completed,Wallet,DR00144,9.2,2.0,Yes,21:17,Clear,iOS,No,NA
RIDE100135,2023-02-20 09:34:00,USER9535,Bangalore,Bike,8.76,6.2,38.97,56.04,4,Completed,Cash,DR00892,3.1,1.5,Yes,09:34,Clear,Web,Yes,NA
RIDE100136,2023-04-02 13:49:00,USER4777,Bangalore,Sedan,13.45,15.1,60.21,100.7,1,Completed,Card,DR00655,9.1,1.0,Yes,13:49,Clear,iOS,No,NA
RIDE100137,2023-04-04 11:48:00,USER5996,Mumbai,Auto,17.87,60.2,51.36,97.25,4,Completed,Card,DR00610,9.1,1.2,Yes,11:48,Rainy,Android,Yes,NA
RIDE100138,2023-12-13 02:09:00,USER4453,Pune,Sedan,9.73,53.2,122.92,182.72,1,Completed,Cash,DR00998,9.3,1.0,No,02:09,Foggy,iOS,Yes,NA
RIDE100139,2023-05-01 05:48:00,USER3011,Pune,Auto,24.32,52.0,68.6,152.02,2,Completed,Cash,DR00058,5.2,1.5,Yes,05:48,Rainy,Android,No,NA
RIDE100140,2023-07-13 00:12:00,USER7101,Chennai,SUV,24.1,7.7,126.56,279.06,4,Cancelled,Cash,DR00252,8.7,1.2,Yes,00:12,Rainy,Web,No,Driver
RIDE100141,2023-11-05 02:52:00,USER3325,Mumbai,Bike,7.04,44.9,50.86,68.76,5,Completed,Wallet,DR00180,9.5,2.0,Yes,02:52,Clear,Android,Yes,NA
RIDE100142,2023-06-04 05:26:00,USER1587,Bangalore,Bike,12.93,83.6,89.15,146.79,4,Cancelled,Card,DR00458,3.6,2.0,No,05:26,Clear,Web,Yes,System
RIDE100143,2023-05-27 11:22:00,USER4851,Bangalore,SUV,8.22,38.8,112.56,158.82,1,Completed,Cash,DR00635,4.5,1.0,Yes,11:22,Clear,iOS,Yes,NA
